Name,Description
TeamSync,"TeamSync aims to improve the quality and balance of student teams by offering a data-driven, user-friendly experience for discovering, evaluating, and matching with potential teammates."
RandomCoffee,"Random Coffee is a web-based service integrated within a Telegram bot, designed to foster meaningful connections through casual meetups. Users can register, set their preferences, and choose relevant tags that reflect their interests or professional background. The system matches them weekly with others who share similar interests."
EvOps,"A self-hosted platform to share and discover local events, providing recommendations based on user preferences and location."
UrTraining,"A web-based platform for creating, distributing, and following personalized training plans. AI-powered recommendations help users reach their fitness goals efficiently."
Red7,"An online version of the Russian game '7Red', featuring secure authentication, multiple game modes, player statistics, and achievements."
SolarWind,"An app connecting people through sports and active lifestyles. Users can find workout buddies, join local events, or chat with like-minded athletes."
ControlLab,"Software and hardware platform for robotics students to practice Control Theory, Reinforcement Learning, and modern robotics techniques."
SmartClause,"AI service for contract analysis, identifying legal risks and compliance issues using semantic search and language models."
VerilogContest,"A contest platform for digital design practice using hardware description languages, with automated verification of solutions."
EasyTravel,"Smart service to find interesting city locations for walks or relaxation. Understands free-form requests and suggests places based on context and user interests."
Smartify,"Educational platform combining career guidance, university selection, and tutor recommendations with AI-powered personalization for students."
GymGenius,"Offline-friendly workout tracker that syncs to the cloud and provides AI coaching for smarter progression. Web dashboard available for monitoring and moderation."
InnoServicesSearch,"AI-powered search platform for university services, allowing students to quickly find information about dormitories, classes, and facilities."
InnopolisGame,"Unity 2.5D game where players explore university areas, interact with NPCs, and learn through mini-quests and dialogues."
Mealix,"Telegram mini-app generating personalized meal plans based on dietary preferences, allergies, and favorite cuisines, with detailed cooking instructions and product lists."
Killah,"AI writing companion for macOS using on-device LLM to help users start, continue, and refine their writing projects."
SkillsNavigator,"Website that builds personalized learning roadmaps, recommending courses based on skill level, goals, and budget."
KIZAK,"AI learning assistant guiding IT learners with personalized paths, daily/weekly tasks, and progress tracking through a smart coach."
NeuroCoach,"Intelligent AI assistant providing personalized coaching for fitness, learning, or productivity with interactive guidance and progress tracking."
LibNet,"Service unifying book search across multiple libraries, allowing reservations and easy tracking of availability."
SignGame,"Unity 2D game where players draw symbols to defeat enemies."
DeathRoom,"Fast-paced arena shooter inspired by Quake and Call of Duty, with up to 12-player multiplayer matches and leaderboards."
EgoAI,"Personal AI assistant helping users organize tasks and view news updates efficiently."
BookRecommendation,"Distributed system generating personalized book recommendations based on reading history and ratings."
PALTUS,"Web-service using AI and gamification to help users organize self-study, offering lessons with subtopics and study resources."
OutfitPredict,"Web platform recommending outfits based on user wardrobe and fashion trends from movies and fashion collections."
Kolobok,"Software analyzing tire brands, models, and conditions, designed for car services and retail."
VoiceDiary,"AI-powered voice journaling tool analyzing tone, emotion, and themes to provide personalized insights and well-being suggestions."
Metalytics,"Analytical system forecasting prices of metals on stock exchanges, considering news, sanctions, and macroeconomic indicators."
ReadTracker,"Platform tracking books read and providing reading statistics and insights."
ProjectOR,"Platform allowing creators to post startup ideas, developers to explore projects, and teams to collaborate efficiently."
FishMasters,"Application for fishermen to find fishing spots, track catches, and compare with other users."
TheCOOrP,"Cooperative anomaly management simulation in Godot engine, similar to Lobotomy Corporation."
InnoSync,"Talent-matching and project collaboration platform for university communities using AI-powered matchmaking."
DataSculptor,"Integrated IDE agent mentoring users in Machine Learning and Data Science with real-time educational feedback."
Fluently,"Application providing personalized English lessons and realistic conversations with AI for learners at A2-C2 CEFR levels."
Looki,"Virtual fitting app using computer vision and 3D modeling to recommend clothing sizes and create personalized 3D models."
Vanguard,"Interactive platform for creating and playing real-time quizzes with gamification elements and detailed analytics."
EdHub,"Learning Management System for teachers, students, and parents with assignment tracking and grading."
AutonomousDrift,"Autonomous drift stabilization system for vehicles using minimal sensor data to maintain stability."
StyleU,"AI stylist recommending clothes based on color and body type, collecting images from marketplaces."
ProjectFly,"Agricultural drone solution for measuring liquid levels in UAV tanks for crop spraying."
Hypershelf,"Digital asset inventory system unifying information with static views, links, and plugin system."
CookCookhNya,"Application suggesting recipes based on available ingredients and user preferences."
MLTD,"Threat detection API using machine learning to analyze log files and detect cyber threats."
InnoLock,"Network-isolation solution for endpoints with centralized management and anomaly detection."
OpenLabsShare,"Open platform for sharing experiments and knowledge with instant feedback and reputation points."
GoalSight,"AI tool aggregating and visualizing football statistics from various sources for coaches, journalists, and fans."
EveningJam,"Narrative-driven platformer-puzzle game featuring unique energy-transfer mechanics and a hand-drawn visual style."
NextLearn,"Online platform generating personalized study plans and course recommendations using AI."
FitBuddy,"Mobile app connecting fitness enthusiasts for joint workouts and tracking progress with gamification."
CodeSandboxAI,"Cloud IDE with AI assistant providing code suggestions, debugging help, and project templates."
TravelMate,"Smart travel companion app suggesting personalized itineraries based on user preferences."
PlantPal,"App tracking plant care schedules, watering reminders, and providing AI-based care tips."
Artify,"Platform for AI-assisted digital art creation and collaborative projects."
LangLoop,"Language learning app with AI-generated exercises, conversation practice, and spaced repetition."
TaskHive,"Task management platform integrating AI prioritization and team collaboration tools."
MusicMood,"App recommending playlists based on user mood and activity, with AI-generated music suggestions."
FoodExplorer,"Platform suggesting restaurants and recipes based on user preferences, dietary restrictions, and location."
SmartWallet,"Personal finance app using AI to track expenses, budget, and suggest savings strategies."
MediTrack,"Healthcare app tracking symptoms, medication schedules, and providing AI-driven advice."
EcoDrive,"Application monitoring driving behavior to reduce emissions and fuel consumption."
QuizMaster,"Platform for creating and participating in quizzes with real-time leaderboard and analytics."
PetConnect,"App connecting pet owners for playdates, care advice, and community events."
CodeChallenge,"Coding practice platform with AI-generated problems and automated feedback."
SafeHome,"Smart home security system with AI monitoring and anomaly detection alerts."
BookClubAI,"Platform for organizing book clubs and generating discussion questions using AI."
SkillForge,"Learning platform recommending skill development pathways and tracking progress."
HealthBuddy,"Fitness and wellness app combining AI workout plans and nutrition tracking."
EventSync,"Platform for discovering, organizing, and managing local events with AI recommendations."
CryptoMonitor,"Application tracking cryptocurrency prices, trends, and providing AI investment insights."
GameLab,"Educational platform teaching game development through hands-on projects and AI guidance."
RoboSim,"Simulation software for robotics students with AI-assisted learning modules."
FoodPlanner,"App generating weekly meal plans based on preferences and dietary restrictions."
StudyPal,"AI study assistant providing personalized learning schedules and resources."
SmartCity,"Platform integrating city data to optimize traffic, energy, and resource usage."
TravelGuideAI,"AI-driven travel guide suggesting itineraries, attractions, and local experiences."
CodeMentor,"Platform connecting coding learners with mentors using AI to match skill levels and goals."
ShopAdvisor,"Shopping app recommending products based on user behavior and AI-driven analysis."
ArtGalleryAI,"Virtual gallery platform showcasing AI-curated art collections and exhibitions."
MusicCollab,"Platform enabling musicians to collaborate online with AI-assisted composition tools."
EcoHome,"App suggesting eco-friendly home improvements and energy-saving tips."
FitnessArena,"Virtual fitness platform offering live classes, AI-tracking, and gamified challenges."
LangTutor,"AI-powered language tutor providing interactive lessons and feedback."
SmartLibrary,"Digital library platform with AI-based search and recommendation for books and articles."
RecipeMaster,"App generating recipes based on available ingredients and user dietary preferences."
CodeArena,"Competitive coding platform with AI-driven problem suggestions and leaderboards."
TravelPlannerPro,"App providing AI-powered travel itineraries and booking recommendations."
PlantDoctor,"AI app diagnosing plant diseases and suggesting treatment options."
MusicCoach,"AI assistant helping users learn instruments and practice effectively."
GameStudioAI,"Platform for collaborative game development with AI-assisted design and testing."
LearnTogether,"Social learning platform connecting students for collaborative projects with AI guidance."
FitTrack,"Fitness tracking app integrating AI coaching, wearable data, and goal tracking."
StudyQuest,"Gamified learning platform with AI-generated challenges and progress tracking."
EcoTravel,"App recommending sustainable travel options and eco-friendly accommodations."
CodeLab,"Interactive coding environment with AI assistance for debugging and optimization."
ArtSchoolAI,"Platform teaching digital art with AI feedback and tutorials."
FoodCompanion,"App tracking nutrition and suggesting recipes based on health goals."
RoboAcademy,"Educational platform for robotics with simulations, AI-guided exercises, and projects."
GameArena,"Competitive online gaming platform with matchmaking, stats tracking, and AI insights."
TravelCompanion,"App providing travel tips, local insights, and AI-generated itineraries."
MusicStudio,"Virtual studio platform for collaborative music production with AI assistance."
StudyHub,"Centralized learning platform with AI-curated resources and progress analytics."
EcoPlanner,"Tool for planning eco-friendly projects, reducing carbon footprint, and tracking sustainability goals."
CodeCompanion,"AI assistant for developers providing suggestions, error fixes, and learning resources."
PlantGuide,"App providing AI-powered guidance for plant care, growth tracking, and disease prevention."
GameLabPro,"Platform for creating, testing, and sharing educational games with AI support."
FitPlanner,"AI-driven personal fitness planning app with progress tracking and goal setting."
LearnAI,"Learning platform providing personalized study plans, quizzes, and AI-guided lessons."
ArtCompanion,"AI-assisted art creation platform offering tutorials, design suggestions, and collaboration tools."
MusicExplorer,"App discovering new music based on user preferences and AI recommendations."
EcoFitness,"Platform combining fitness tracking with eco-friendly lifestyle tips and challenges."
StudyPlanner,"AI tool for organizing study schedules, tasks, and learning resources efficiently."
TravelExplorer,"App providing AI-curated travel suggestions and personalized itineraries."
GameMakerAI,"Tool for designing games with AI-assisted level design, mechanics, and testing."
FitCoach,"AI-powered coaching app offering personalized workouts, nutrition plans, and progress tracking."
ArtLab,"Interactive platform for learning art techniques with AI feedback and collaborative projects."
MusicMentor,"AI platform guiding users through instrument learning and music theory."